,geometry,cartodb_id,objectid,permitnumber,addressobjectid,parcel_id_num,permittype,permitdescription,commercialorresidential,typeofwork,approvedscopeofwork,permitissuedate,status,applicanttype,contractorname,contractoraddress1,contractoraddress2,contractorcity,contractorstate,contractorzip,mostrecentinsp,opa_account_num,address,unit_type,unit_num,zip,censustract,council_district,opa_owner,systemofrecord,geocode_x,geocode_y,posse_jobid
90,POINT (-75.093974 39.997247),185571,185583,945836,57635,530804,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A DETACHED, NON-COMBUSTIBLE STRUCTURE TO INCLUDE INSTALLATION OF SHALLOW FOUNDATIONS, RAMMED AGGREGATE PIER GROUND IMPROVEMENT, STEEL FRAMING, EIFS INSTALLATION, VESTIBULE ENTRANCE, ACCESSIBLE SERVICE COUNTER, ACCESSIBLE RESTROOMS, AND INTERIOR PARTITIONS. **SEPARATE PERMITS TO BE REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING, KITCHEN EXHAUST HOOD, AND FIRE SUPPRESSION SYSTEM INSTALLATIONS.**",2019-03-12T11:05:49Z,COMPLETED,DESIGN PROFESSIONAL,A & E CONSTRUCTION CO,152 GARRETT ROAD,,UPPER DARBY,PA,19082-    ,2019-12-11T09:19:00Z,884840200,2270 E BUTLER ST,,,19137-1010,382,1,LIDL US OPERATIONS LLC,HANSEN,2712531.0572035,253044.21057209,
91,POINT (-75.17314399999999 39.978988),185463,185680,961533,769210,1472153,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED STRUCTURE WOOD FRAMED TOWNHOME WITH BASEMENT, REAR YARD AND GREEN ROOF FOR USE AS A SINGLE FAMILY DWELLING (DETAILS AS SHOWN ON THE PLAN. SEE AP# 960572 FOR PLANS.",2019-04-16T17:17:40Z,COMPLETED,APPL,HABITAT FOR HUMANITY PHILA,1829 N 19TH STREET,,PHILADELPHIA,PA,19121-    ,2020-01-10T07:43:00Z,,2304 W OXFORD ST,,,19121-    ,139,5,PHILA HOUSING AUTHORITY,HANSEN,2690553.43249574,245738.55390459,
92,POINT (-75.121208 39.986448),192391,191314,940284,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE A) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-30T10:23:56Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-08-30T07:33:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
93,POINT (-75.121208 39.986448),196511,202452,906944,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A FOUR (4) STORY, A SEMIDETACHED STRUCTURE (DUPLEX - TYPE B RIGHT CORNER) WITH A ROOF DECK AND PILOT HOUSE.  STRUCTURE FOR USE AS TWO FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13R MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-30T09:19:07Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-10-28T10:58:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
94,POINT (-75.12776100000001 39.980372),197194,202496,915071,319066,392424,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION (IRC 2009) OF A THREE-STORY ATTACHED STRUCTURE WITH ROOF ACCESS STRUCTURE AND ROOF DECK PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13D MINIMUM.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.  SEE CHILD APPLICATIONS 921285, 921086 & 921287.",2019-02-05T14:14:22Z,COMPLETED,CONTRACTOR,WOOD SCOTT CONSTRUCTION & PROP,337 N SALFORD ST,WOOD SCOTT CONSTRUCTION AND PROPERTY,PHILADELPHIA,PA,19139-    ,2019-08-28T08:35:00Z,313119001,2164 E GORDON ST,,,19125-2012,160,1,FISHTOWN REALTY LLC,HANSEN,2703251.45057055,246616.55287387,
95,POINT (-75.121208 39.986448),197205,202628,940432,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY, ATTACHED STRUCTURE (SFD - TYPE B) WITH A ROOF DECK AND PILOT HOUSE AND ONE (1) INTERIOR PARKING SPACE.  STRUCTURE FOR USE AS SINGLE FAMILY DWELLING.  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13D MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 9 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.  SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T09:03:58Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2019-10-18T14:11:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
96,POINT (-75.178365 39.944679),196084,202673,949067,367141,125740,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION 3 STORY SINGLE FAMILY DWELLING, 3 BEDROOMS, 2.5 BATHROOMS, AND A PILOT HOUSE PER THE SUBMITTED PLANS.",2019-03-04T10:44:24Z,COMPLETED,CONTRACTOR,"MONTEBELLO HOMES, LLC",601 W PROSPECT AVENUE,,NORTH WALES,PA,19454-    ,2020-01-13T14:15:00Z,302016200,2142 KATER ST,,,19146-1215,13,2,TC ACQUISITIONS LLC,HANSEN,2689454.80327906,233203.09007268,
97,POINT (-75.151847 39.983182),197404,202390,895908,651851,29013,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE NEW CONSTRUCTION OF A THREE STORY STRUCTURE TO BE USED AS A SINGLE-FAMILY DWELLING, AS PART OF A TOTAL OF FIFTY (50) DWELLING UNITS WITH A COMMUNITY CENTER ON THE LOT, AS PER APPROVED PLANS. SEE APP# 857960 FOR APPROVED PLANS.",2019-11-14T14:29:54Z,COMPLETED,DESIGN PROFESSIONAL,SHOEMAKER SYNTERRA,ONE TOWER BRIDGE,SUITE 365,W CONSHOHOCKEN,PA,19428-    ,2019-10-18T12:21:00Z,886761138,2000 N 11TH ST,,,19122-0000,377,5,PHILADELPHIA HOUSING AUTH,HANSEN,2696474.45698897,247440.24218428,
98,POINT (-75.189213 39.909736),206346,208371,956075,755206,1471767,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"ERECTION OF A THREE STORY STRUCTURE, MAXIMUM 35 FT HIGH, WITH ACCESSORY INTERIOR GARAGE, A SECOND FLOOR REAR OPEN ELEVATED DECK. SIZE AND LOCATION AS SHOWN ON PLANS.**SEE AP # 953441 FOR PLANS**",2019-03-15T10:58:36Z,COMPLETED,CONTRACTOR,JUDD BUILDERS & DEVELOPERS,1750 WALTON RD,,BLUE BELL,PA,19422-    ,2020-02-13T08:45:00Z,262429400,3330 PIETRO WAY,,,19145-5549,373,2,SIENA PLACE PLANNED COMMU,HANSEN,2686783.57284312,220390.70630183,
99,POINT (-75.22983000000001 40.027768),207303,208308,945282,390689,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF A FOUR (4) STORY STRUCTURE ABOVE GRADE PLANE WITH ROOF DECK ACCESSED BY ROOFTOP STRUCTURE; SINGLE-FAMILY DWELLING WITHIN A SPECIAL FLOOD HAZARD AREA WITH GARAGE; LOWEST FLOOR ELEVATION ENTIRELY ABOVE THE REGULATORY FLOOD ELEVATION AS PER APPROVED PLANS; BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13; ** HISTORICAL COMMISSION JURISDICTION REMOVED SOLEY FOR THIS PROJECT, PER COUNCIL ORDINANCE BILL # 170997, ** FINISHED FLOOR ELEVATION CERTIFICATE TO BE PROVIDED TO DEPARTMENT & APPROVED PRIOR TO ISSUANCE OF CERTIFICATE OF OCCUPANCY (CO), SEE A/P# 945277 FOR PLANS.",2019-03-26T16:06:20Z,COMPLETED,DESIGN PROFESSIONAL,VENICE ISLAND DEVELOPER LLC,2337 PHILMONT AVE,2ND FLOOR,HUNTINGDON VALLEY,PA,19006-6200,2020-02-13T07:18:00Z,,1 LEVERINGTON AVE,,,19127-2201,214,4,LOCKS HOMEOWNERS ASSOCIAT,HANSEN,2674167.19369792,263042.69640828,
100,POINT (-75.040074 40.076413),206955,208412,966812,770011,268351,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF A THREE-STORY SEMI-DETACHED STRUCTURE WITH GROUND-FLOOR GARAGE AND SECOND-FLOOR REAR DECK FOR USE AS A SINGLE FAMILY HOUSEHOLD LIVING PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13D MINIMUM.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION. REFERENCE 960589 FOR PLANS.",2019-05-28T13:09:45Z,COMPLETED,CONTRACTOR,J & K MAHON BUILDERS INC,3450 PINE RD,,HUNTINGTON VALLEY,PA,19006-    ,2020-02-13T08:20:00Z,,9140 OLD NEWTOWN RD,,,19115-4937,345.01,10,"J & K MAHON BUILDERS, INC.",HANSEN,2726740.38990134,282327.95063034,
101,POINT (-75.12009399999999 39.98263),214348,219636,912789,3902,454002,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED STRUCTURE TO INCLUDE A ROOF DECK ACCESSED FROM A PILOTHOUSE.BUILDING TO BE FULLY SPRINKLERED. TEMPORARY BRACING SHALL BE ERECTED IMMEDIATELY AFTER EXCAVATION DIRECTED BY ONSITE GEOTECHNICAL ENGINEER. SEPARATE PERMITS REQUIRED FOR MECH, ELEC, PLUMB AND FIRE SUPP WORK. SEE AP#912789 FOR APPROVED PLANS.",2019-01-14T12:10:44Z,COMPLETED,CONTRACTOR,BDRD CONTRACTORS,885 WARFIELD LA,,HUNGTINDON VALLEY,PA,19006-    ,2019-11-22T08:12:00Z,312000400,2638 AGATE ST,,,19125-2302,160,1,GEROLD RYAN              DEELEY BRAD,HANSEN,2705374.59137624,247502.92766817,
102,POINT (-75.181398 39.929987),209446,208184,923404,483513,478886,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED THREE STROY STRUCTURE WITH CELLAR, ROOF DECK WITH PILOT HOUSE AND FRONT BAY WINDOW IN SECOND FLOOR (DETAILS INCLUDING SIZE AND LOCATION AS SHOWN ON THE PLAN) TO USE AS SINGLE FAMILY HOUSE HOLD LIVING.SEPERATE PERMITS REQUIRED FOR ELECTRICAL, MECHANICAL, PLUMBING AND SPRINKLER INSTALLATION WORK",2019-01-15T15:20:52Z,COMPLETED,,JESSE FELLS,1964 PRATT ST,,PHILADELPHIA,PA,19124-    ,2019-11-12T13:56:00Z,363160900,2138 PIERCE ST,,,19145-1919,31,2,BAMBOO TREE ESTATES LLC,HANSEN,2688760.59699602,227828.27707268,
103,POINT (-75.179631 39.975199),213552,219826,944947,769837,1471403,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION OF AN ATTACHED BUILDING WITH CELLAR AND SECOND-FLOOR BALCONY FOR USE AS A THREE-FAMILY HOUSEHOLD LIVING.  SIZE AND LOCATION PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13R MINIMUM.  SEPERATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.",2019-03-27T15:01:00Z,COMPLETED,DESIGN PROFESSIONAL,"CALLAHAN & WARD PROPERTIES, LL",2610 HIRST TERRACE,,HAVERTOWN,PA,19083-    ,2019-10-31T09:59:00Z,291370700,1248 N TANEY ST,,,19121-4600,138,5,1229-1247 NORTH 27TH ST,HANSEN,2688776.63209403,244305.95337111,
104,POINT (-75.14850800000001 39.971463),213668,219838,947472,298940,363893,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE ERECTION OF A THREE STORY STRUCTURE FOR USE AS A FIVE FAMILY DWELLING. BUILDING IS FULLY SPRINKLERED IN ACCORDANCE WITH NFPA 13R. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT DESIGN ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS TO BE OBTAINED FOR ALL OTHER WORK. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 10 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2018 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK.***IBC 2018***,2019-03-21T12:45:38Z,COMPLETED,DESIGN PROFESSIONAL,FRESH AIR SERVICES INC,1325 OLD FORD ROAD,,HUNTINGDON VALLEY,PA,19006-    ,2019-09-09T07:59:00Z,141065000,1229 N FRANKLIN ST,,,19122-4324,141,5,1229 FRANKLIN LLC,HANSEN,2697535.38951451,243200.74625018,
105,POINT (-75.187028 39.938563),209985,208222,929810,287718,540201,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY STRUCTURE WITH A ROOF DECK FOR USE AS A TWO (2) FAMILY DWELLING.  STRUCTURE IS FRAME CONSTRUCTION AND EQUIPPED WITH AN AUTOMATIC SPRINKLER SYSTEM (NFPA 13D MINIMUM). SEPARATE PERMITS WILL BE REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 10 FEET OF BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMITS ARE REQUIRED.",2019-01-22T14:28:25Z,COMPLETED,DESIGN PROFESSIONAL,BMCK INC,1216 S 26 ST 1ST FLOOR,,PHILADELPHIA,PA,19146-    ,2019-09-09T12:47:00Z,885402140,2600 FEDERAL ST,,,19146-3829,20,2,I 9 LLC,HANSEN,2687091.53495172,230905.1864739,
106,POINT (-75.164272 39.96605),213212,219801,940101,769394,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,FOUND,FOR CONSTRUCTION OF FOUNDATIONS (ONLY) FOR A SINGLE FAMILY STRUCTURES AS PER APPROVED PLANS AND GEOTECHNICAL REPORT. SEE A/P #927481 FOR PLAN.,2019-01-11T15:13:24Z,COMPLETED,,REED ST BUILDERS LLC,2501 WHARTON ST,,PHILADELPHIA,PA,19146-    ,2019-06-05T13:04:00Z,084089600,1604 NORTH ST,,,19130-    ,133,5,SPRING GARDEN COMMUNITY  DEVELOPMENT CORP,HANSEN,2693176.79084076,241100.16427676,
107,POINT (-75.121208 39.986448),213214,219803,940534,387197,1472512,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A FOUR (4) STORY,  ATTACHED STRUCTURE (DUPLEX - TYPE A) WITH A ROOF DECK AND PILOT HOUSE.  STRUCTURE FOR USE AS TWO FAMILY DWELLING .  STRUCTURE TO BE FULLY SPRINKLERED PER NFPA 13R MINIMUM. SEPARATE PERMITS REQUIRED FOR PLUMBING, MECHANICAL, ELECTRICAL AND FIRE SUPPRESSION. SEE A/P NO 898232 FOR APPROVED PLANS.",2019-01-31T10:09:19Z,COMPLETED,,URBAN RENEWAL BUILDERS LLC,3010 RICHMOND STREET,,PHILADELPHIA,PA,19134-    ,2020-01-24T09:43:00Z,885816300,2035 E LEHIGH AVE,,,19125-1012,179,1,"L&M FISHTOWN RESIDENCES,L",HANSEN,2705021.26092371,248883.69332067,
108,POINT (-75.19402100000001 39.937819),214013,219873,954971,573747,456766,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,NEW CONSTRUCTION OF 3 STORY SINGLE FAMILY DWELLING WITH ROOF DECK AND PILOT HOUSE,2019-03-28T16:47:04Z,COMPLETED,,OWL CONSTRUCTION SERVICES LLC,4208 DISSTON ST,,PHILADELPHIA,PA,19135-    ,2020-02-09T14:00:00Z,362209700,3014 TITAN ST,,,19146-3611,33,2,IRA DEVELOPMENT LLC,HANSEN,2685139.30985232,230577.73855031,
109,POINT (-75.120611 39.988809),220330,214064,935865,297163,1303884,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A TWO-STORY DETACHED TIRE REPAIRS AND SALES BUILDING WITH ACCESSORY STORAGE ON THE SECOND FLOOR AS PER APPROVED PLANS. BUILDING TO BE FULLY SPRINKLERED PER NFPA 13. SEE A/P NO. 841994 FOR FOUNDATION WORK.   
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-05-10T12:10:08Z,COMPLETED,OWNER,LCV GENERAL CONTRACT&PAINTING,2142 E STELLA STREET,,PHILADELPHIA,PA,19134-    ,2019-11-22T08:56:00Z,885800020,2770-76 FRANKFORD AVE,,,19134-4042,178,7,TRINIDAD NICHOLAS,HANSEN,2705162.89755873,249748.30646793,
110,POINT (-75.229056 40.03454),219488,214263,976759,768144,,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF AN ATTACHED LIGHT-FRAMED STRUCTURE TO INCLUDE SHARED COMMON FIRE-RATED EXTERIOR WALLS, ENGINEERED BRACED WALL PANELS, UNDERFLOOR VENTILATION, BALCONY INSTALLATION, AND INSULATION INSTALLATION. (IRC 2015) **SEPARATE PERMITS REQUIRED FOR RETAINING WALL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION SYSTEM INSTALLATIONS.**",2019-05-28T08:55:30Z,COMPLETED,APPL,NEW CENTURY BUILDERS & DEVELOP,143 PLYMOUTH RD,,PLYMOUTH MEETING,PA,19462-    ,2020-01-27T12:29:00Z,212289732,222 FOUNTAIN ST,,,19128-4508,215,4,MJ2 PROPERTIES LLC,HANSEN,2674313.39347451,265514.723929,
111,POINT (-75.129329 39.982719),219969,214173,959494,20702,223734,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE CONSTRUCTION OF A THRE (3) STORY ATTACHED STRUCTURE WITH CELLAR AND ROOF DECK ACCESSED BY A ROOF DECK ACCESS STRUCTURE. FOR A SINGLE FAMILY HOUSEHOLD LIVING. AS PER PLANS.,2019-05-14T11:18:57Z,COMPLETED,CONTRACTOR,SHEARMAN CONSTRUCTION SERVICE,2576 FRANKFORD AVE,,PHILA,PA,19125-    ,2020-02-10T07:47:00Z,313110400,2063 E ARIZONA ST,,,19125-1531,161,1,2063 E ARIZONA LLC,HANSEN,2702786.82225609,247458.09309751,
112,POINT (-75.12771100000001 39.980316),219220,213987,921286,319069,288338,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR NEW CONSTRUCTION (IRC 2009) OF A THREE-STORY ATTACHED STRUCTURE WITH ROOF ACCESS STRUCTURE AND ROOF DECK PER APPROVED PLANS.  BUILDING TO BE FULLY SPRINKLERED WITH NFPA 13D MINIMUM.  SEPARATE PERMITS REQUIRED FOR MECHANICAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION.  SEE PARENT APPLICATION 915071.",2019-02-05T14:31:35Z,COMPLETED,CONTRACTOR,WOOD SCOTT CONSTRUCTION & PROP,337 N SALFORD ST,WOOD SCOTT CONSTRUCTION AND PROPERTY,PHILADELPHIA,PA,19139-    ,2019-08-28T07:40:00Z,313119200,2168 E GORDON ST,,,19125-2012,160,1,FISHTOWN REALTY LLC,HANSEN,2703266.04270009,246596.67663568,
113,POINT (-75.220553 40.05201),220431,213811,889387,618725,57740,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A DETACHED ONE-STORY UTILITY STRUCTURE FOR USE AS A BARN ACCESSORY TO AN EXISTING MARKET OR COMMUNITY SUPPORTED FARM.  ALL WORK TO BE DONE PER APPROVED PLANS. SEPARATE PERMITS REQUIRED FOR MECHANCIAL, ELECTRICAL AND PLUMBING.",2019-01-10T11:29:35Z,COMPLETED,DESIGN PROFESSIONAL,PANNULLA CONSTRUCTION CO INC,454-56 CONARROE STREET,,PHILADELPHIA,PA,19128-    ,2019-12-20T13:00:00Z,885736560,900 WISES MILL RD,,,19128-0000,9801,4,FAIRMOUNT PARK COMM      WISSAHICKON VALLEY,HANSEN,2676511.19633722,271944.26772551,
114,POINT (-75.117469 39.977965),220569,214075,939377,353586,226142,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,NEW CONSTRUCTION PROPOSED SINGLE FAMILY DWELLING AS PER PLANS..,2019-05-17T14:37:10Z,COMPLETED,,UNITED CONSTRUCTION & MNMGNT,1690 RATZER RD,,WAYNE,NJ,07470-    ,2020-02-24T14:56:00Z,314163400,2611 E HUNTINGDON ST,,,19125-3705,378,1,ATL DEVELOPMENT CORPORATI,HANSEN,2706160.70747549,245826.22906333,
115,POINT (-75.180774 39.937319),250115,248216,953505,409369,371663,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,FOR THE NEW CONSTRUCTION OF AN ATTACHED THREE (3) STORY SINGLE FAMILY STRUCTURE WITH CELLAR AND ROOF DECK ACCESSED BY A PILOTHOUSE AS PER PLAN.,2019-03-08T15:54:33Z,COMPLETED,DESIGN PROFESSIONAL,LIAM MOORE,114 E MARTHART AVE,,HAVERTOWN,PA,19083-    ,2019-09-30T09:11:00Z,361269300,2212 MANTON ST,,,19146-4221,20,2,1626 WHARTON LLC,HANSEN,2688857.80076895,230503.1712792,
116,POINT (-75.176993 39.934379),224599,225306,907492,460670,56780,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,ERECTION OF A SINGLE FAMILY DWELLING AS PER PLANS. 1 HOUR FIRE RATED REAR WALL AND FIRE SUSPENSION SPRINKLER PLACEMENT IN FRONT OF REAR WALL OPENINGS AS PER BBS REQUIREMENTS.,2019-02-15T15:40:42Z,COMPLETED,DESIGN PROFESSIONAL,CEASAR SANCHEZ,BELLASAN CONTRACTORS LLC,565 E WINONA AVE,NORWOOD,PA,19074-    ,2019-09-30T09:12:00Z,361180410,1338 S OPAL ST,,,19146-4646,31,2,191 & COMPANY LLC,HANSEN,2689948.87440447,229463.56020918,
117,POINT (-75.14785500000001 39.968813),229612,236739,915727,413522,244307,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF A THREE (3) STORY THREE-FAMILY DWELLING WITH A PRIVATE ROOF DECK AND PILOT HOUSE (ACCESS TO ROOF DECK ONLY) AS PER APPROVED PLANS AND BBS VARIANCE NO. 36520. BUILDING REQUIRED TO BE FULLY SPRINKLERED PER NFPA 13 AND MUST HAVE HORNS & STROBES ON PILOT HOUSE PER BBS PROVISOS. SEE A/P NO. 938283 FOR FOUNDATION WORK.  *2018 IBC*
**SEPARATE PERMITS REQUIRED FOR MEP & FIRE SUPPRESSION WORK**",2019-04-15T11:25:06Z,COMPLETED,OWNER,HYBAR CONSTRUCTION LLC,706 SOUTH AMERICAN STREET,,PHILADELPHIA,PA,19147-    ,2020-02-14T10:14:00Z,871084450,964 N MARSHALL ST,,,19123-1307,141,5,JOHNSON BENJAMIN HOWARD,HANSEN,2697746.95399565,242241.24256581,
118,POINT (-75.223848 39.943293),236027,231236,952375,599269,181248,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"FOR THE ERECTION OF A THREE (3) STORY ATTACHED STRUCTURE. STRUCTURE FOR USE AS A TWO FAMILY DWELLING. BUILDING TO BE FULLY SPRINKERED. ALL WORK TO BE DONE PER APPROVED PLANS. IF FIELD CONDITIONS VARY CONTACT STRUCTURAL ENGINEER PRIOR TO THE START OF ANY WORK. SEPARATE PERMITS REQUIRED FOR MECHANCIAL, ELECTRICAL, PLUMBING AND FIRE SUPPRESSION WORK. A COVERED WALKWAY OR SIDEWALK CLOSURE SHALL BE REQUIRED WITHIN 8.0 FEET OF THE BUILDING FACADE IN ACCORDANCE WITH SECTION 3306 OF THE 2009 IBC. SEPARATE BUILDING AND/OR STREETS DEPARTMENT PERMIT  REQUIRED PRIOR TO THE START OF ANY WORK",2019-05-03T12:55:25Z,COMPLETED,CONTRACTOR,AIMES LLC,834 N 4TH ST,SUITE 1,PHILADELPHIA,PA,19123-    ,2019-12-30T13:29:00Z,511168900,5237 WARRINGTON AVE,,,19143-4212,73,3,CITY BLOCK ACQUISITION X,HANSEN,2676721.90212421,232330.09763359,
119,POINT (-75.242648 40.046094),235898,231226,950851,450724,314824,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,NEW CONSTRUCTION,2019-03-12T11:11:25Z,COMPLETED,CONTRACTOR,US BEST CONSTRUCTION,306 SOUTH ST,,PHILADELPHIA,PA,19147-    ,2019-08-01T12:20:00Z,212441400,7507 NEWLAND ST,,,19128-4134,219,4,BOWMAN KIMBERLY          HAYE KESTER,HANSEN,2670389.52285731,269613.37255617,
120,POINT (-75.160887 39.974371),230085,236899,948006,657974,511839,BP_NEWCNST,NEW CONSTRUCTION PERMIT,,ENTIRE,"NEW CONSTRUCTION OF 4 STORY SINGLE FAMILY TOWNHOUSE W/ROOF DECK, BASEMENT EGRESS WELL & PROJECTING BAY ON EXISTING FOUNDATION PER FOUNDATION PERMIT #929697 SEE AP#939931 FOR PLANS",2019-02-13T14:50:13Z,COMPLETED,DESIGN PROFESSIONAL,TESTER CONSTRUCTION GROUP LLC,1541 RIDGE AVE,,PHILADELPHIA,PA,19130-    ,2020-03-04T15:21:00Z,881410002,1330 N 15TH ST,,,19121-4328,140,5,15TH STREET LIGHTHOUSE LP,HANSEN,2694036.41612314,244157.76435641,
